title,cluster,description,keywords
Fact Sheet 052814,15,"Overview of traffic sign updates submitted on March 28, 2014","proposals, sign, traffic, review, change, april"
Vendor Payments Calendar Year 2014,34,"A data set of payments made to vendors in 2014. Updated weekly. Checkbook level data. When analyzing this data be aware that the sum amount and voucher are unique amounts, the payment amount is the total of a check. A check often includes more than one voucher.
As a result of the Red Flag Commission recommendations, Ordinance 970032 was passed by the City Council Jan. 23, 1997. This ordinance requires the city to publish a report every two weeks listing all city payments.","data, traffic, st, traffic, census, city"
Adopted Budget FY2014-15,14,Adopted Budget FY2014-15,"budget, policy, 's, year, code, plan"
"Water Revenue Bonds, Series 2014 A OS",27,"Water Revenue Bonds, Series 2014 A OS","bonds, notice, defeasance, water, master, downgrade"
Water 2014 A Adoption Of Supplemental Ordinance Voluntary Notice 5-28-14,3,Water 2014 A Adoption Of Supplemental Ordinance Voluntary Notice 5-28-14,"downgrade, lists, april, presentation, public, group"
IB168 Part A Minor Subdivision Process Intro,31,"Lot split, lot consolidation and lot line adjustment process introduction.","process, master, developer, land, program, permit"
IB168 Part B Minor Subdivision Process,31,"Lot split, lot consolidation and lot line adjustment process information.","process, master, developer, land, program, permit"
IB168 Part C Minor Subdivision Application,31,"Lot split, lot consolidation and lot line adjustment process application.","process, master, developer, land, program, permit"
IB168 Part D Minor Subdivision Resubmittal,18,"Lot split, lot consolidation and lot line adjustment resubmittal application.","application, program, street, plan, commission, city"
KCPD Crime Data 2014,11,"This is the most current information as of the date of upload. This provides the user the ability to view the most current crime information within Kansas City, Missouri.  The displayed information is the most current information from the data source as of the date of upload.  The data source is dynamic and therefore constantly changing.  Changes to the information may occur, as incident information is refined.

While the Board of Police Commissioners of Kansas City, Missouri (Board) makes every effort to maintain and distribute accurate information, no warranties and/or representations of any kind are made regarding information, data or services provided.  The Board is not responsible for misinterpretation of this information and makes no inference or judgment as to the relative safety to any particular area or neighborhood.  In no event shall the Board be liable in any way to the users of this data.  Users of this data shall hold the Board harmless in all matters and accounts arising from the use and/or accuracy of this data.","information, standards, documents, city, master, required"
VGB Compliance Verification Form,13,Virginia Graeme Baker Pool and Spa Safety Act compliance verification form,"form, application, plan, permit, developer, neighborhood"
Pool Guidance 2014-- VGB Requirement,3,"guidance for the Virginia Graeme Baker pool and spa safety act, pool requirements","downgrade, lists, april, presentation, public, group"
Guidance- For- Safety- The- Pool-and- Spa- Safety- Act,3,Virginia Graeme Baker Act guidance brochure on pool and spa safety,"downgrade, lists, april, presentation, public, group"
Pool- Operating- Permit- Application,33,"Kansas City, Mo., Health Department's pool, hot tub and spa operating permit application","city, kansas, kansas, city, kansas, missouri"
PUBLIC 2014 Pool Fee Schedule,33,"Kansas City, Mo., Health Department's pool fees for 2014","city, kansas, kansas, city, kansas, missouri"
Pool Checklist- Inspector Contacts 2014,33,"Kansas City, Mo., Health Department's Pool opening checklist and inspector contacts 2014","city, kansas, kansas, city, kansas, missouri"
KCFD Final Strategic Plan 5-16-2014,6,KCFD Final Strategic Plan 5-16-2014,"plan, developer, focus, city, neighborhood, street"
Neighborhood Membership And Renewal Registration Form 2013,13,Neighborhood Membership And Renewal Registration Form 2013,"form, application, plan, permit, developer, neighborhood"
Tow Data 2013,34,Tow Data 2013,"data, traffic, st, traffic, census, city"
KCMO EMS Base Station Physician Course  - Online Edition 2012,3,Enter a description,"downgrade, lists, april, presentation, public, group"
Public Access Defilbrillation Program Guide and Application 2014-15,18,Public Access Defilbrillation Program Guide and Application 2014-15,"application, program, street, plan, commission, city"
Downtown Streetcar Investment Guide,3,The Downtown Streetcar Development and Investment Guide aims to foster the revitalization and redevelopment of the districts served by the Downtown Streetcar.,"downgrade, lists, april, presentation, public, group"
"Out of repair criteria for sidewalks, driveways and curbs - KCMO",11,document revised November 2013,"information, standards, documents, city, master, required"
2013 Action Plan Amendment 2,6,2013 Action Plan Amendment 2,"plan, developer, focus, city, neighborhood, street"
Building Permit Activity for 2013 - Example Report,29,"charts, maps and tables of building permits - KCMO example of a report that can be custom-made for varying geography","kcmo, census, data, reports, map, department’s"
2012 American Community Survey KCMO Data,5,detailed characteristics of people and housing for the area as a whole,"characteristics, characteristics, people, people, characteristics, housing"
KCMO Unpaid Internship Opportunities 2014,29,KCMO Unpaid Internship Opportunities 2014,"kcmo, census, data, reports, map, department’s"
Neighborhood And Homeowner Association Registration Policy,3,"The purpose of this document is to help ensure the functionality of Neighborhood Associations as well as the effectiveness of the services provided by the Neighborhood Services Division. These policies set forth minimum requirements to maintain Registered Association status, thereby providing more effective communication between neighborhoods and the City and ensuring an open, 
inclusive and democratic process.","downgrade, lists, april, presentation, public, group"
"March Monthly financial report for the period ended March 31, 2014",16,"Monthly financial report for the period ended March 31, 2014","reports, assessments, neighborhood, construction, annual, work"
Buildings,3,"list of buildings, housefacts","downgrade, lists, april, presentation, public, group"
Major Street Plan 2011,6,Major Street Plan 2011,"plan, developer, focus, city, neighborhood, street"
ATAG Key Performance Indicators,3,terminal advisory group KPI's,"downgrade, lists, april, presentation, public, group"
ATAG Final Recommendation Votes,3,"final recommendation votes, kci terminal advisory group","downgrade, lists, april, presentation, public, group"
2014 Street Preservation Resurfacing Map Link,30,2014 Street Preservation Resurfacing Map Link,"map, use, land, census, developer, plan"
Agreement (3),3,Adopt-a-Street agreement,"downgrade, lists, april, presentation, public, group"
Adopt- A- Street Brochure 2014,3,Overview of the Adopt-a-Street program,"downgrade, lists, april, presentation, public, group"
Covenant Not To Sue,13,Release form for adopt-a-street program,"form, application, plan, permit, developer, neighborhood"
Details And Guidelines,3,Guidelines for adopt-a-street program,"downgrade, lists, april, presentation, public, group"
Dumpster Request Form Revised,13,Dumpster request form,"form, application, plan, permit, developer, neighborhood"
"Charter of Kansas City, Mo. 2006",20,"Charter of Kansas City, Mo. 2006","city, kansas, mo, city, city, city"
2013 Action Plan,6,2013 Annual Action Plan to the 2012-2016 Consolidated Housing and Community Development Plan,"plan, developer, focus, city, neighborhood, street"
HEALTHCOMMISSIONCOMMITTEEMembership Form,13,Health Commission Committee Membership Form,"form, application, plan, permit, developer, neighborhood"
HC Revised Bylaws June 2015,3,Health Commission Bylaws most recently updated 6/5/2015,"downgrade, lists, april, presentation, public, group"
Asset Map (combined),33,"Asset map of Kansas City, Mo., including retail stores by council district, zip code and neighborhood, Liquor stores, bicycle trails, libraries, community and senior centers, food pantries, fire stations, hot meals, mental health and social services, colleges/universities and many other services","city, kansas, kansas, city, kansas, missouri"
Health Commission roster 2015,3,Health Commission roster 2015,"downgrade, lists, april, presentation, public, group"
Health Commission 2012 Annual Report,16,"CHIP 2013 Final S
Health Commission 2012 Annual Report published August 2013","reports, assessments, neighborhood, construction, annual, work"
KCMO CHIP 2011-2016,33,"Kansas City, Mo., Community Health Improvement Plan 2011 through 2016,","city, kansas, kansas, city, kansas, missouri"
TAG Agenda050714,3,"KCI Terminal Advisory Group
Agenda
Wednesday, May 7, 2014","downgrade, lists, april, presentation, public, group"
TIGcomments042814,3,"KCI Terminal Advisory Group 
Public comments received: April 28 through May 4, 2014","downgrade, lists, april, presentation, public, group"
2014 Resurfacing List,3,Current list of streets to be resurfaced between May 2014 and Fall 2014.,"downgrade, lists, april, presentation, public, group"
CALENDAR 2014 H,3,Payroll Calendar 2014-2015 with Holidays,"downgrade, lists, april, presentation, public, group"
Standing Rules,3,Standing Rules,"downgrade, lists, april, presentation, public, group"
REQUEST FOR W-2 IRS FORM W,13,W-2 IRS FORM,"form, application, plan, permit, developer, neighborhood"
City Of Kansas City Direct Deposit Form,13,Direct Deposit Form,"form, application, plan, permit, developer, neighborhood"
CALENDAR 2014,3,Payroll Calendar 2014-2015,"downgrade, lists, april, presentation, public, group"
Manheim Concept Drawings,3,Manheim Concept Drawings,"downgrade, lists, april, presentation, public, group"
Manheim Park Action Plan brochure,6,Manheim Park Action Plan brochure,"plan, developer, focus, city, neighborhood, street"
Request for Qualifications/Proposals for Participation in the Manheim Area Single Family Infill Housing Development Program,3,Request for Qualifications/Proposals for Participation in the Manheim Area Single Family Infill Housing Development Program,"downgrade, lists, april, presentation, public, group"
POOL REGULATIONS FINAL 4-2014,33,"2014 Kansas City, Mo., Pool Regulations","city, kansas, kansas, city, kansas, missouri"
GIS additional features,3,"City Limit, Annexations, Zoning, Incentive Areas, Police Districts, etc.","downgrade, lists, april, presentation, public, group"
Contours,3,Contour lines and Spot Elevations.,"downgrade, lists, april, presentation, public, group"
Centerline,3,Centerline of Streets.,"downgrade, lists, april, presentation, public, group"
Impervious Surfaces,3,"Structures, Driveways, Sidewalks, Decks, Patios, etc.","downgrade, lists, april, presentation, public, group"
Cadastre,3,"Plats, Parcels, Lots Lines, Dimensions, Easements, etc.","downgrade, lists, april, presentation, public, group"
Line Item Budget FY2014-15,3,includes prior years,"downgrade, lists, april, presentation, public, group"
Submitted Budget FY2013-14,14,Submitted Budget FY2013-14,"budget, policy, 's, year, code, plan"
Fact Sheet 050114,15,Overview of proposed traffic sign removals and installations,"proposals, sign, traffic, review, change, april"
Installations 050114,15,Proposed traffic sign installations,"proposals, sign, traffic, review, change, april"
Removals 050114,6,Planned traffis sign removals,"plan, developer, focus, city, neighborhood, street"
Small Local Business Enterprise (SLBE) Application,18,Small Local Business Enterprise (SLBE) Application,"application, program, street, plan, commission, city"
DBE Personal Net Worth Statement,18,Missouri Regional Certification Committee Disadvantaged Business Enterprise Financial Statement for DBE Application,"application, program, street, plan, commission, city"
MBE- WBE Certification Affidavit,3,MBE- WBE Certification Affidavit,"downgrade, lists, april, presentation, public, group"
Disadvantaged Business Enterprise (DBE) Application,18,Disadvantaged Business Enterprise (DBE) Application,"application, program, street, plan, commission, city"
MWDBE Election Form,13,MWDBE Election Form,"form, application, plan, permit, developer, neighborhood"
2013 Action Plan Amendment 5,6,2013 Action Plan Amendment 5,"plan, developer, focus, city, neighborhood, street"
2014 City Action Plan,6,2014 City Action Plan,"plan, developer, focus, city, neighborhood, street"
Federal Home Loan Bank Target Area 2 Application,18,"Application for residents of Vineyard, Ruskin and the Middle Blue River Sustainability Area","application, program, street, plan, commission, city"
Federal Home Loan Bank Target Area 1 Application,18,"Application for residents of Wendell Phillips, Washington/Wheatley, East 23rd Street PAC and Santa Fe","application, program, street, plan, commission, city"
2014 Consolidated One Year Action Plan,6,2014 Consolidated One Year Action Plan,"plan, developer, focus, city, neighborhood, street"
KCGreen NRP Application,18,KC Green Neighborhood recognition program application,"application, program, street, plan, commission, city"
2012-2016 Condolidated Plan,33,"Kansas City, Missouri is a designated entitlement city for the receipt of federal funds from the Department of Housing and Urban Development (H.U.D.). The following is Kansas City's Five-Year Consolidated Plan for the period 2012 – 2016. The document describes the planning and  management process, assesses the city’s housing, community and special needs, identifies policies and strategies over the period to address those needs, and allocates funds from federal  and other sources on an annual basis. The four entitlement programs covered by the plan include: 
* Community Development Block Grants (CDBG) 
* Home Investment Partnership (HOME) 
* Housing Opportunities for Persons with AIDS (HOPWA) 
* Emergency Solutions Grant (ESG).","city, kansas, kansas, city, kansas, missouri"
KC Regional Microloan Facts Sheet,3,KC Regional Microloan Facts Sheet,"downgrade, lists, april, presentation, public, group"
TAG Agenda042214,33,"KCI Terminal Advisory Group
Agenda
Tuesday, April 22, 2014
7:30 a.m.
City Hall
414 E. 12th Street
Kansas City, Missouri","city, kansas, kansas, city, kansas, missouri"
Sustainability in Kansas City - December 2013,33,Sustainability in Kansas City - December 2013,"city, kansas, kansas, city, kansas, missouri"
Kansas City Green Solutions & Sustainability Administrative Regulation Adopted By The City Manager,33,Kansas City Green Solutions & Sustainability Administrative Regulation Adopted By The City Manager,"city, kansas, kansas, city, kansas, missouri"
Kansas City Green Solutions Resolution Adopted by the City Council,33,Kansas City Green Solutions Resolution Adopted by the City Council,"city, kansas, kansas, city, kansas, missouri"
Climate Protection Plan 2008,6,Climate Protection Plan 2008,"plan, developer, focus, city, neighborhood, street"
KCMO Community Health Assessment 2011,33,"The 2011 Community Health Assessment for Kansas City, Mo., published in 2012","city, kansas, kansas, city, kansas, missouri"
TAG Agenda040814,3,"KCI Terminal Advisory Group
Agenda
Tuesday, April 8, 2014","downgrade, lists, april, presentation, public, group"
TAG Agenda040714,3,"KCI Terminal Advisory Group
Agenda
Monday, April 7, 2014","downgrade, lists, april, presentation, public, group"
TIGcomments032414,3,"KCI Terminal Advisory Group
Public comments received: March 24-30, 2014","downgrade, lists, april, presentation, public, group"
TIGcomments031714a,3,KCI terminal advisory group comments received March 17-23,"downgrade, lists, april, presentation, public, group"
Kansas City Neighborhood Advisory Council Candidate Application,33,"Application to the Neighborhood Advisory Council of the Kansas City, Missouri.","city, kansas, kansas, city, kansas, missouri"
Removals 041714,15,Proposed traffic sign removals,"proposals, sign, traffic, review, change, april"
Installations 041714,15,Proposed traffic sign installations,"proposals, sign, traffic, review, change, april"
Fact Sheet 041714,3,"Traffic regulation fact sheet for April 17, 2014","downgrade, lists, april, presentation, public, group"
City Communications Photography Intern Information,11,City Communications Photography Intern Information,"information, standards, documents, city, master, required"
RFP Pest Control for May2014 to April2015 Contract,3,RFP Request for Proposal for The Health Department is seeking Pest Management Professionals (PMPs) to provide discounted services to residents who have completed an Integrated Pest Management (IPM) class taught by the Department.,"downgrade, lists, april, presentation, public, group"
Appendix G Existing Activities,29,Climate protection activities in KCMO and the region at 6.30.2008,"kcmo, census, data, reports, map, department’s"
Appendix F Going Green In KC,3,Where we are and where we're going at 6.30.2008,"downgrade, lists, april, presentation, public, group"
Appendix E Sources Of Data,34,Notes on data for Clean Air and Climate Protection (CACP) software,"data, traffic, st, traffic, census, city"
Appendix D Co C En Tsk Frc Rpt,33,Report of the Greater Kansas City Chamber of Commerce Energy Task Force regarding greenhouse gas reduction goals,"city, kansas, kansas, city, kansas, missouri"
Appendix C Status Ph1 Recoms,3,Status of implementation of Phase 1 recommendations at 6.30.2008,"downgrade, lists, april, presentation, public, group"
Appendix B Ph2 Recoms,3,Recommendations for climate action measures - Phase 2,"downgrade, lists, april, presentation, public, group"
Appendix A Ph1 Recoms,3,Recommendations for climate action measures - Phase 1,"downgrade, lists, april, presentation, public, group"
CP Plan - 7.16.08,6,Climate Protection Plan adopted July 2008; See separate Appendices,"plan, developer, focus, city, neighborhood, street"
201404- Summer2013 Adult Hockey League Community Center- Performance Audit- WEB,0,This audit focused on whether staff at the Line Creek Community Center followed established rules and procedures for the 2013 summer adult hockey league.,"audit, audit, focus, city, 's, management"
20031030. Peer Review. ALGA,0,"This is an audit from our peers for the period December 1, 2000 through July 31, 2003.","audit, audit, focus, city, 's, management"
Dumpster Application,13,Fillable dumpster application form,"form, application, plan, permit, developer, neighborhood"
20061103. Peer Review. ALGA,0,"This is an audit from our peers from September 1, 2003 to August 31, 2006.","audit, audit, focus, city, 's, management"
Parade Application Fillable,13,Fillable parade application form,"form, application, plan, permit, developer, neighborhood"
20100326. Peer Review. ALGA,0,"This is an audit from our peers from September 1, 2006 to August 31, 2009.","audit, audit, focus, city, 's, management"
Strategic Plan2014-17 Finance,6,Finance Strategic Plan 2014-2017,"plan, developer, focus, city, neighborhood, street"
Speed Hump Drawing,3,Speed Hump Drawing,"downgrade, lists, april, presentation, public, group"
Traffic Circle Design,3,Traffic Circle Design,"downgrade, lists, april, presentation, public, group"
Guidelines For Guardrail Use,30,Guidelines For Guardrail Use,"map, use, land, census, developer, plan"
Accessible Parking Application,18,Accessible Parking Application,"application, program, street, plan, commission, city"
Loading Zone Application,18,Loading Zone Application,"application, program, street, plan, commission, city"
One-way Traffic Petition,1,One-way Traffic Petition,"traffic, count, traffic, review, form, focus"
Parking Petition Install,3,Parking Petition Install,"downgrade, lists, april, presentation, public, group"
Parking Petition Removal,3,Parking Petition Removal,"downgrade, lists, april, presentation, public, group"
Passenger Loading Zone Application,18,Passenger Loading Zone Application,"application, program, street, plan, commission, city"
Residential Parking Permit Application,24,Residential Parking Permit Application,"permit, buildings, new, application, construction, required"
Traffic Calming Guidelines,1,Traffic Calming Guidelines,"traffic, count, traffic, review, form, focus"
Traffic Calming Petition Form  Cut Through,13,Traffic Calming Petition Form  Cut Through,"form, application, plan, permit, developer, neighborhood"
Traffic Claming Petition Form Speed Hump,13,Traffic Claming Petition Form Speed Hump,"form, application, plan, permit, developer, neighborhood"
IB139 Obtaining A Certificate Of Occupancy,11,How to obtain a Certificate of Occupancy. Information Bulletin No. 139,"information, standards, documents, city, master, required"
"April 11, 2013 Peer Review -  ALGA",0,CAO had a peer review (audit) for the period 9/1/09 to 8/31/12.  There were no formal observations and suggestions recommended.,"audit, audit, focus, city, 's, management"
February 2014 Report,3,February MFR 2014,"downgrade, lists, april, presentation, public, group"
January 2014 Report,3,January MFR 2014,"downgrade, lists, april, presentation, public, group"
December 2013 Report,3,December MFR 2013,"downgrade, lists, april, presentation, public, group"
Removals 040814,15,"Proposed traffic sign removals submitted April 8, 2014","proposals, sign, traffic, review, change, april"
Regulation Fact Sheet 040814,15,"Overview of proposed traffic sign ordinance changes submitted April 8, 2014","proposals, sign, traffic, review, change, april"
Installations 040814,15,"Proposed traffic sign installations submitted for review on April 8, 2014","proposals, sign, traffic, review, change, april"
20140108- Fire Code Inspection Program- Highlights,31,This audit examined the process used to manage the fire code inspection program and evaluated the completeness of the fire safety inspection database.,"process, master, developer, land, program, permit"
20140108- Fire Code Inspection Program- Performance Audit,31,This audit examined the process used to manage the fire code inspection program and evaluated the completeness of the fire safety inspection database.,"process, master, developer, land, program, permit"
20140219- Surplus Personal Property- Highlights,0,This audit focuses on the disposition process and safeguards in place to protect city-owned surplus personal property.,"audit, audit, focus, city, 's, management"
20140219- Surplus Personal Property- Performance Audit,0,This audit focuses on the disposition process and safeguards in place to protect city-owned surplus personal property.,"audit, audit, focus, city, 's, management"
20140226- Municipal Court Docketing System- Highlights,0,This audit focuses on system security controls in Municipal Court's automated docketing system.,"audit, audit, focus, city, 's, management"
20140226- Municipal Court Docketing System- Performance Audit,0,This audit focuses on system security controls in Municipal Court's automated docketing system.,"audit, audit, focus, city, 's, management"
20130619- TWS Technical Services Minority Business Enterprise- Performance Audit,0,"This audit focuses on whether the city's Human Relations Department properly certified TWS Technical Services, LLC, as a minority business enterprise.","audit, audit, focus, city, 's, management"
Brownfields Commission Fact Sheet - 2014,33,"Fact sheet describing the authority, function and current make up of the Kansas City Brownfields Commission.  Updated as needed.","city, kansas, kansas, city, kansas, missouri"
20131003- Traffic Mgmt Center Audit- Highlights,0,The focus of this audit was to determine whether the city uses the Traffic Management Center effectively to manage traffic.,"audit, audit, focus, city, 's, management"
The One- KC Brownfields Coalition,3,"A presentation describing the purpose and boundaries of the OneKC Bi-State Brownfields Coalition Assessment Grant project.  Presented at the kick-off event held on July 18, 2013.","downgrade, lists, april, presentation, public, group"
Kansas City Brownfields Program Slide Show,3,A visual presentation of cumulative brownfield redevelopment projects and sites in the OneKC Bi-state Coalition Assessment Grant area.,"downgrade, lists, april, presentation, public, group"
20131003- Traffic Mgmt Center- Audit,0,The focus of this audit was to determine whether the city uses the Traffic Management Center effectively to manage traffic.,"audit, audit, focus, city, 's, management"
20131125- Citywide Overtime Audit- Hightlights,0,"This audit focuses on the analysis of overtime trends, drivers of overtime, and the effectiveness of practices used to manage overtime.","audit, audit, focus, city, 's, management"
20131125- Citywide Overtime- Audit,0,"This audit focuses on the analysis of overtime trends, drivers of overtime, and the effectiveness of practices used to manage overtime.","audit, audit, focus, city, 's, management"
ALDI - Brownfield Project Outcomes - 2014,3,"Fact Sheet describing brownfield activities, assistance and outcomes for cleanup and redevelopment of the former Andrew's Garage, 2500 E. 39th St. and adjacent properties for the ALDI store project at 39th & Prospect.  Store opened February 2014.","downgrade, lists, april, presentation, public, group"
DeLaSalle - Brownfield Project Outcomes - 2013,3,"Fact Sheet describing brownfield activities, assistance and outcomes for cleanup and redevelopment of properties on Troost Ave. between 37th and Mannheim for the expansion and redevelopment of the DeLaSalle Education Center.","downgrade, lists, april, presentation, public, group"
Horace Mann School - Brownfield Project Outcomes - 2014,3,"Fact Sheet describing brownfield activities, assistance and outcomes for cleanup and redevelopment of the former Horace Mann School at 2008 E. 39th St.","downgrade, lists, april, presentation, public, group"
Good To Grow - Brownfields And Urban Agriculture - 2014,3,"Article describing brownfield issues, assessment assistance available, and safe gardening practices related to urban agriculture.  Published in the February 2014 newsletter of CultivateKC.org","downgrade, lists, april, presentation, public, group"
Rising From The Ashes - Kansas City Rebuilds - 2002,3,"Brownfields and economic development case study for the Central Industrial District.  Presented at the National Brownfields Conference, Charlotte, NC 2002.","downgrade, lists, april, presentation, public, group"
Missouri Brownfields Revolving Loan Fund Fact Sheet - 2012,3,Fact Sheet describing the Missouri EIERA Brownfields Revolving Loan Fund (RLF) Program,"downgrade, lists, april, presentation, public, group"
Missouri Brownfield Redevelopment Program Fact Sheet,3,"Fact Sheet describing the Missouri Brownfield Redevelopment Program, remediation tax credits, and other state brownfield incentives","downgrade, lists, april, presentation, public, group"
One- KC Brownfields Coalition Assessment Grant Fact Sheet - 2014,31,"Fact sheet describing the One-KC Bi-State Brownfields Coalition Assessment Grant program, process and available resources.  Updated annually.","process, master, developer, land, program, permit"
Kansas City Brownfields Program Summary - 2014,33,"Fact Sheet describing the overall Kansas City Brownfields Program, accomplishments, major projects, and cumulative outcomes. Updated annually.","city, kansas, kansas, city, kansas, missouri"
Brownfields Coalition Assessment Grants Fact Sheet - 2014,31,"Fact Sheet describing the Kansas City Brownfields Coalition Assessment Grant program, process and available resources.  Updated annually.","process, master, developer, land, program, permit"
KCMO Brownfields Revolving Loan Fund Fact Sheet - 2014,31,"Fact Sheet describing the Kansas City Brownfields Revolving Loan Fund program, process and currently available resources.  Updated annually.","process, master, developer, land, program, permit"
KC BizCare 2009 Six Month Progress Report,3,Summary of KC BizCare's first six months in business,"downgrade, lists, april, presentation, public, group"
KC BizCare December 2009 Monthly Report,3,Green Impact Zone,"downgrade, lists, april, presentation, public, group"
KC BizCare November 2009 Monthly Report,3,"Dr. Kristine Baker, GovFest","downgrade, lists, april, presentation, public, group"
KC BizCare October 2009 Monthly Report,11,"Hispanic Chamber, National Hispanic Business Information Center, MetroWireKC","information, standards, documents, city, master, required"
KC BizCare September 2009 Monthly Report,3,"Wednesday Sun, Southtown Council Newsletter, SBA Small Business Resource Guide","downgrade, lists, april, presentation, public, group"
KC BizCare August 2009 Monthly Report,3,"Freelance Exchange Newsletter, Southtown Council newsletter, Downtown Council, Resource Guide, Intern, Kauffman","downgrade, lists, april, presentation, public, group"
KC BizCare July 2009 Monthly Report,3,"KC BizCare advertisements:  KCATA, KC Small Business Magazine.  AR-125","downgrade, lists, april, presentation, public, group"
KC BizCare June 2009 Monthly Report,3,Ribbon Cutting,"downgrade, lists, april, presentation, public, group"
KC BizCare December 2013 Monthly Report,33,EDC Thank You letter to Kansas City Businesses,"city, kansas, kansas, city, kansas, missouri"
Notice Of Defeasance Of Refunded Series 2011 A Bonds 3-31-14,27,Notice Of Defeasance Of Refunded Series 2011 A Bonds 3-31-14,"bonds, notice, defeasance, water, master, downgrade"
Notice Of Defeasance Of Refunded Series 2005 A Bonds 3-31-14,27,Notice Of Defeasance Of Refunded Series 2005 A Bonds 3-31-14,"bonds, notice, defeasance, water, master, downgrade"
KC BizCare Aug 2013 Monthly Report,3,"BizFriendly, 1Million Cups, Urban Summit","downgrade, lists, april, presentation, public, group"
EMC Minutes  1.7.12 - Retreat,25,Minutes of the meeting of January 2012 - EMC Planning Retreat,"meeting, minutes, agenda, group, public, presentation"
EMC Minutes  2.8.12,25,Minutes of the meeting of February 2012,"meeting, minutes, agenda, group, public, presentation"
EMC Minutes 3.14.12,25,Minutes of the meeting of March 2012,"meeting, minutes, agenda, group, public, presentation"
EMC Minutes 4.11.12,25,Minutes of the meeting of April 2012,"meeting, minutes, agenda, group, public, presentation"
EMC Minutes 5.09.12,25,Minutes of the meeting of May 2012,"meeting, minutes, agenda, group, public, presentation"
EMC Minutes 1.08.14,25,Minutes of the meeting of January 2014,"meeting, minutes, agenda, group, public, presentation"
EMC Minutes 6.13.12,25,Minutes of the meeting of June 2012,"meeting, minutes, agenda, group, public, presentation"
EMC Minutes 7.11.12,25,Minutes of the meeting of July 2012,"meeting, minutes, agenda, group, public, presentation"
EMC Minutes 8.08.12,25,Minutes of the meeting of August 2012,"meeting, minutes, agenda, group, public, presentation"
EMC Minutes 9.12.12,25,Minutes of the meeting of September 2012,"meeting, minutes, agenda, group, public, presentation"
EMC Minutes 10.11.12,25,Minutes of the meeting of October 2012,"meeting, minutes, agenda, group, public, presentation"
EMC Minutes 11.14.12,25,Minutes of the meeting of November 2012,"meeting, minutes, agenda, group, public, presentation"
EMC Minutes 12 12 12,25,Minutes of the meeting of December 2012,"meeting, minutes, agenda, group, public, presentation"
MARC SWMD Factsheet,3,Fact sheet by Mid-America Regional Council for the Solid Waste Management District,"downgrade, lists, april, presentation, public, group"
OEQ Customer Svc Strategy FY 13-14,3,Strategy the Office of Environmental Quality has implemented in service to the EMC,"downgrade, lists, april, presentation, public, group"
EMC Minutes 12.11.13,25,Minutes of the monthly meeting of the EMC of 12.11.13,"meeting, minutes, agenda, group, public, presentation"
EMC Minutes 11.13.13,25,Minutes of the monthly meeting of the EMC of 11.13.13,"meeting, minutes, agenda, group, public, presentation"
EMC Minutes 10.9.13,25,Minutes of the monthly meeting of the EMC of 10.9.13,"meeting, minutes, agenda, group, public, presentation"
EMC Minutes 9.11.13,25,Minutes of the monthly meeting of the EMC of 9.11.13,"meeting, minutes, agenda, group, public, presentation"
EMC Minutes 8.14.13,25,Minutes of the EMC monthly meeting of 8.14.13,"meeting, minutes, agenda, group, public, presentation"
EMC Minutes 7.10.13,25,Minutes of the monthly meeting of the EMC for 7.10.13,"meeting, minutes, agenda, group, public, presentation"
EMC Minutes 6.12.13,25,Minutes of the monthly meeting of the EMC for 6.12.13,"meeting, minutes, agenda, group, public, presentation"
EMC Minutes 5.8.13,25,Minutes of the monthly meeting of the EMC for 5.8.13,"meeting, minutes, agenda, group, public, presentation"
EMC Minutes 4.10.13,25,Minutes of the monthly meeting of the EMC for 4.10.13,"meeting, minutes, agenda, group, public, presentation"
EMC Minutes 3.13.13,25,Minutes of the monthly meeting of the EMC for 3.13.13,"meeting, minutes, agenda, group, public, presentation"
EMC Minutes 2.13.13,25,Minutes of the monthly meeting of the EMC for 2.13.13,"meeting, minutes, agenda, group, public, presentation"
EMC Minutes 1.9.13,25,Minutes of the monthly meeting of the EMC for 1.9.13,"meeting, minutes, agenda, group, public, presentation"
Brendle Presentation 2.21.14,3,Presentation to CPSC by The Brendle Group - consultant for Greenhouse Gas Inventory update,"downgrade, lists, april, presentation, public, group"
CPSC Agenda - 2.21.14,25,Climate Protection Steering Committee meeting agenda,"meeting, minutes, agenda, group, public, presentation"
EMC Minutes 2.12.14,25,Monthly meeting minutes,"meeting, minutes, agenda, group, public, presentation"
Environmental Management Commission Agenda,25,Current monthly meeting agenda,"meeting, minutes, agenda, group, public, presentation"
KC CEP 3 21 14 T Corso presentation,3,"Sustainability and energy efficiency presentation by Tom Corso, MC Realty","downgrade, lists, april, presentation, public, group"
KC CEP 3 21 14 GSA Nies presentation,33,Sustainability and energy efficiency upgrades by US GSA in Kansas City,"city, kansas, kansas, city, kansas, missouri"
Building Permits Issued January To December 2013,24,Building Permits Issued January To December 2013,"permit, buildings, new, application, construction, required"
New Licenses,24,"New licenses and permits applied for,","permit, buildings, new, application, construction, required"
02 28 14 CEP Mtg Notes,3,02 28 14 CEP Mtg Notes,"downgrade, lists, april, presentation, public, group"
CEP Advisory Comittee Agenda,3,CEP Advisory Comittee Agenda,"downgrade, lists, april, presentation, public, group"
