title,cluster,description,keywords
2014 Census - Population By School Residency (Citywide),0,"All Census information is as of April 1, 2014. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2014 Census - Population By School Residency (Ward),0,"All Census information is as of April 1, 2014. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2014 Census - Population By School Residency (Neighbourhood),0,"All Census information is as of April 1, 2014. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2014 Census - Population By Structure Type (Citywide),0,"All Census information is as of April 1, 2014. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2014 Census - Population By Structure Type (Ward),0,"All Census information is as of April 1, 2014. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2014 Census - Population By Structure Type (Neighbourhood),0,"All Census information is as of April 1, 2014. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2014 Census - Population By Single Year Of Age And Gender (Citywide),5,"All Census information is as of April 1, 2014.  Ages of residents are effective April 1, 2014.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).","data, information, centre, facilities, census, released"
2014 Census - Population By Single Year Of Age And Gender (Ward),5,"All Census information is as of April 1, 2014.  Ages of residents are effective April 1, 2014.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).","data, information, centre, facilities, census, released"
2014 Census - Population By Single Year Of Age And Gender (Neighbourhood),5,"All Census information is as of April 1, 2014.  Ages of residents are effective April 1, 2014.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).","data, information, centre, facilities, census, released"
2014 Census - Dwelling Unit By Language (Citywide),0,"All Census information is as of April 1, 2014. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2014 Census - Dwelling Unit By Language (Ward),0,"All Census information is as of April 1, 2014. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2014 Census - Dwelling Unit By Language (Neighbourhood),0,"All Census information is as of April 1, 2014. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2014 Census - Dwelling Unit By Ownership (Citywide),5,"All Census information is as of April 1, 2014.  Ages of residents are effective April 1, 2014.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).","data, information, centre, facilities, census, released"
2014 Census - Dwelling Unit By Ownership (Ward),5,"All Census information is as of April 1, 2014.  Ages of residents are effective April 1, 2014.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).","data, information, centre, facilities, census, released"
2014 Census - Dwelling Unit By Ownership (Neighbourhood),5,"All Census information is as of April 1, 2014.  Ages of residents are effective April 1, 2014.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).","data, information, centre, facilities, census, released"
2014 Census - Dwelling Unit Status (Citywide),0,"All Census information is as of April 1, 2014. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2014 Census - Dwelling Unit Status (Ward),0,"All Census information is as of April 1, 2014. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2014 Census - Dwelling Unit Status (Neighbourhood),0,"All Census information is as of April 1, 2014. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2014 Census - Dwelling Units By Structure Type And Ownership (Citywide),5,"All Census information is as of April 1, 2014.  Ages of residents are effective April 1, 2014.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).","data, information, centre, facilities, census, released"
2014 Census - Dwelling Units By Structure Type And Ownership (Ward),5,"All Census information is as of April 1, 2014.  Ages of residents are effective April 1, 2014.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).","data, information, centre, facilities, census, released"
2014 Census - Dwelling Units By Structure Type And Ownership (Neighbourhood),5,"All Census information is as of April 1, 2014.  Ages of residents are effective April 1, 2014.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).","data, information, centre, facilities, census, released"
2014 Census - Dwelling Units By Structure Type And Occupancy (Citywide),0,"All Census information is as of April 1, 2014. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2014 Census - Dwelling Units By Structure Type And Occupancy (Ward),0,"All Census information is as of April 1, 2014. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2014 Census - Dwelling Units By Structure Type And Occupancy (Neighbourhood),0,"All Census information is as of April 1, 2014. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2014 Census - Population By Structure Type And Length Of Residence (Citywide),5,"All Census information is as of April 1, 2014.  Ages of residents are effective April 1, 2014.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).","data, information, centre, facilities, census, released"
2014 Census - Population By Structure Type And Length Of Residence (Ward),5,"All Census information is as of April 1, 2014. Ages of residents are effective April 1, 2014. No data on any individual residence will be released. To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only. Neighbourhood results with a population under 49 are not posted to protect the information collected. The designation of “No Response” includes households from which no census data could be collected or only partial data was available. Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).","data, information, centre, facilities, census, released"
2014 Census - Population By Structure Type And Length Of Residence (Neighbourhood),5,"All Census information is as of April 1, 2014.  Ages of residents are effective April 1, 2014.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).","data, information, centre, facilities, census, released"
2014 Census - Dwelling Unit By Structure Type (Citywide),0,"All Census information is as of April 1, 2014. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2014 Census - Dwelling Unit By Structure Type (Ward),0,"All Census information is as of April 1, 2014. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2014 Census - Population By Ownership And Length Of Residence (Ward),5,"All Census information is as of April 1, 2014.  Ages of residents are effective April 1, 2014.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).","data, information, centre, facilities, census, released"
2014 Census - Population By Ownership And Length Of Residence (Citywide),5,"All Census information is as of April 1, 2014.  Ages of residents are effective April 1, 2014.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).","data, information, centre, facilities, census, released"
2014 Census - Population By Ownership And Length Of Residence (Neighbourhood),5,"All Census information is as of April 1, 2014.  Ages of residents are effective April 1, 2014.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).","data, information, centre, facilities, census, released"
2014 Census - Dwelling Unit By City Resource Access (Citywide),5,"All Census information is as of April 1, 2014.  Ages of residents are effective April 1, 2014.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).","data, information, centre, facilities, census, released"
2014 Census - Dwelling Unit By City Resource Access (Ward),5,"All Census information is as of April 1, 2014.  Ages of residents are effective April 1, 2014.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).","data, information, centre, facilities, census, released"
2014 Census - Dwelling Unit By City Resource Access (Neighbourhood),5,"All Census information is as of April 1, 2014.  Ages of residents are effective April 1, 2014.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).","data, information, centre, facilities, census, released"
Top 100 Intersection Collision Locations (2012-2013),10,"List of Top 100 Intersection Collision Locations in Edmonton for the years 2012-2013. This file contains information about those intersections in Edmonton , with a breakdown of collisions by the standard list of causes used in reporting.

Collision information is provided by the Motor Vehicle Collision Information System (MVCIS), maintained by the City of Edmonton Office of Traffic Safety. This system tracks police-reported collisions involving at least one motor vehicle that occur on public roadways and which result in property damage of $1,000 or more, as well as any collisions resulting in injury or fatality. 

This file is meant as a companion piece to the Annual Collision Report, produced by the City of Edmonton Office of Traffic Safety. Please refer to the full report for more information on collisions in Edmonton, and definitions of the collision causes and injury types used in this file.","collisions, reporting, outline, annual, open, injuries"
Community Drop-in Program - Summer 2014,4,"Free summer recreation programs (Green Shack, playground program, spray parks, skate parks, youth programs, Flying Eagle program) including location, program dates and times.","edmonton, city, developer, 's, data, dataset"
City of Edmonton - Financial Budget (Full Time Equivalence),4,"Full Time Equivalence summary of City of Edmonton's Department or Civic Agency. Also, you can see the Financial Budget at - https://data.edmonton.ca/Financial/City-of-Edmonton-Financial-Budget/qycq-4ckj","edmonton, city, developer, 's, data, dataset"
City of Edmonton - Financial Budget,4,"High-level detail summary of the City of Edmonton's 2014 Financial Operating Budget by Department or Civic Agency. In addition, one can see Full Time equivalencies at - https://data.edmonton.ca/Financial/City-of-Edmonton-Financial-Budget-Full-Time-Equiva/eazf-zhey","edmonton, city, developer, 's, data, dataset"
Edmonton Public Library Rooms for Rent,1,List of program and meeting rooms available for rental at Edmonton Public Library branches. Includes room capacity and contact information.,"list, edmonton, schools, fields, city, fields"
City of Edmonton - Rooflines,4,Spatial data of all city of Edmonton building roof-lines as of May 2013,"edmonton, city, developer, 's, data, dataset"
City of Edmonton - Neighbourhoods (Centroid Point),4,"List of centroids for current neighbourhood boundaries found within the boundaries of the City of Edmonton. Note - this map includes both residential and industrial neighbourhoods. Also, due to the configuration of a neighbourhood, the centroid may not necessarily lie properly within a neighbourhood boundary.","edmonton, city, developer, 's, data, dataset"
2011-2013 Council And Committee Meetings - Attendance,9,"Roll call for Council and Committee meetings. If a member of Council or the Committee attends for any portion of the meeting, they will be show as ‘present’. Only if a Councillor or member of Committee is not present for any portion of the meeting will they be shown as ‘absent’. For Committees, only the members of the Committee are listed as ‘present’ or ‘absent’. Other Councillors attending the meeting are shown as ‘Others Attending’ in the minutes.
(Information Subject to Change. While every effort is taken to ensure its accuracy, the data presented here is for informational purposes only.  The official record of the Council and Committee meetings shall be the Agendas, Minutes and supporting documents approved by and filed with the City Clerk.)","meetings, committee, council, council, agendas, committee"
2011-2013 Council and Committee Meetings - Agenda Items,9,"Lists the Agenda Items for Council and Committee meetings.  The agenda is usually published on the Thursday prior to the meeting.  Statutory Public Hearings (Land Use) agendas are available 3 weeks prior to the meeting.
(Information Subject to Change. While every effort is taken to ensure its accuracy, the data presented here is for informational purposes only.  The official record of the Council and Committee meetings shall be the Agendas, Minutes and supporting documents approved by and filed with the City Clerk.)","meetings, committee, council, council, agendas, committee"
2011-2013 Council and Committee Meetings - Meeting Details,9,"List of Council-approved meetings of Edmonton City Council and related Committees of Council.  The list includes the date, time and location of each meeting.  (Information Subject to Change. While every effort is taken to ensure its accuracy, the data presented here is for informational purposes only.  The official record of the Council and Committee meetings shall be the Agendas, Minutes and supporting documents approved by and filed with the City Clerk.)","meetings, committee, council, council, agendas, committee"
2011-2013 Council and Committee Meetings - Motions,9,"Lists any Motions (also known as ‘Resolutions’) or Councillor Inquiries made during the meeting. 
Motions of Council require a mover and seconder; Motions of Committee only require a mover.
Councillor Inquiries do not require a Mover nor is a vote taken.
(Information Subject to Change. While every effort is taken to ensure its accuracy, the data presented here is for informational purposes only.  The official record of the Council and Committee meetings shall be the Agendas, Minutes and supporting documents approved by and filed with the City Clerk.)","meetings, committee, council, council, agendas, committee"
2011-2013 Council and Committee Meetings - Voting Record,9,"Detailed Voting Record of each motion made at Council or selected Committee meetings (see attachment below for details). Members of Council or the Committee will be shown as voting ‘in favour’ ‘opposed’ or ‘absent’. While Councillors are allowed to abstain from voting, this can only happen under exceptional circumstances (the Councillor must have a pecuniary interest in the matter). Therefore, it is very unlikely to see an ‘abstention’ noted.
(While every effort is taken to ensure its accuracy, the data presented here is for informational purposes only.  The official record of the Council and Committee meetings shall be the Agendas, Minutes and supporting documents approved by and filed with the City Clerk.)","meetings, committee, council, council, agendas, committee"
Answer,4,Answer,"edmonton, city, developer, 's, data, dataset"
Transit Ridership,4,Annual total transit system ridership based on last 12 months. Estimated from fare revenue.,"edmonton, city, developer, 's, data, dataset"
2013 Edmonton Election - Results Details (by Voting Station),1,"Official Results from the 2013 Edmonton Municipal and School Board Elections. Results are displayed for each Candidate, by Race and by Voting Station.","list, edmonton, schools, fields, city, fields"
2013 Edmonton Election - Official Results,1,"Official Results from the 2013 Edmonton Municipal and School Board Elections (October 21st, 2013).","list, edmonton, schools, fields, city, fields"
2013 Edmonton Election - Voting Stations,1,Listing of the Election Day Voting Station Locations,"list, edmonton, schools, fields, city, fields"
Front Yards In Bloom Nominations (1999 - 2013),4,"Shows all addresses that received nominations for the Front Yards in Bloom (FYinB) program. FYinB began in 1999 by the City of Edmonton, Edmonton Horticultural Society, and letter carriers. This shows all nominated addresses, starting in 2006, as well as top addresses from the beginning.
Any address can be nominated many times in one year.","edmonton, city, developer, 's, data, dataset"
City of Edmonton - Neighbourhoods,4,List of current neighbourhoods and their unique identifier number.  Included are both residential and industrial neighbourhoods.,"edmonton, city, developer, 's, data, dataset"
2012 Census - Dwelling Unit By Structure Type (Ward),0,"All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2012 Census - Dwelling Unit Status (Ward),0,"All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2012 Census - Dwelling Unit Status (Neighbourhood),0,"All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2012 Census - Dwelling Unit By Structure Type (Neighbourhood),0,"All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2012 Census - Population By Structure Type (Neighbourhood),0,"All Census information is as of April 1, 2012. No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  “Other Residential” includes dwelling units not covered by the other categories, such as a unit attached to a non-residential structure (e.g. an apartment in a store or church) or a movable structure (e.g. recreational vehicle, tent, etc.).","data, e.g, structure, unit, structure, protect"
2012 Census - Population By Single Year Of Age And Gender (Neighbourhood),5,"All Census information is as of April 1, 2012.  Ages of residents are effective April 1, 2012.  No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbourhood level only.  Neighbourhood results with a population under 49 are not posted to protect the information collected.  The designation of “No Response” includes households from which no census data could be collected or only partial data was available.  Bulk-count data from multiple-resident facilities (such as group homes, transient drop-in centres, residential hotels or criminal detention centres) may be limited when personal information cannot be obtained (i.e. information is not available or cannot be released by the facility administration).","data, information, centre, facilities, census, released"
Parkland - (Polygon),1,List of all parkland spaces in Edmonton,"list, edmonton, schools, fields, city, fields"
"Hired Equipment Contracts over $10,000 - 2012",10,An annual report of all Outline Agreements for hired equipment that were open and valid in 2012.,"collisions, reporting, outline, annual, open, injuries"
"Outline Agreements over $10,000 - 2012",10,"An annual report of all Outline Agreements (standing offer agreement) over $10,000 that were open and valid in 2012.","collisions, reporting, outline, annual, open, injuries"
ECSD Ward Boundaries,6,Spatial view of all current Separate School Wards in the City of Edmonton,"spatial, spatial, view, spatial, current, ward"
EPSB Ward Boundaries,6,Spatial view of all current Public School Wards in the City of Edmonton,"spatial, spatial, view, spatial, current, ward"
City Ward - Number 1,6,Spatial view of current City of Edmonton's twelve (12) political Ward boundaries,"spatial, spatial, view, spatial, current, ward"
City Ward - Number 2,6,Spatial view of current City of Edmonton's twelve (12) political Ward boundaries,"spatial, spatial, view, spatial, current, ward"
City Ward - Number 3,6,Spatial view of current City of Edmonton's twelve (12) political Ward boundaries,"spatial, spatial, view, spatial, current, ward"
